61,Fix the Foundation,,Self service Customs Manifest data to support Customs reforms moving to single window ,Regulatory Compliance,FTE Reduction,25 FTE,FTE cost reduction,No,High,High,Global,Maersk.com,Maersk.com,GCD,GCD,Vaibhav Sharma,,Pritish Shetty,M,,Pritish,,L,Yes,Combined V5,,,,
62,Simple & Seamless Execution,,AI enabled Control and Compliance Dashboard Reports,Improved Productivity,FTE Reduction,$0.1M,FTE cost reduction,No,Low,High,Global,Order Handling platform,Customs Manifest - Reporting & Analytics,GCD,,Vaibhav Sharma,,Divyang Behre,M,,Al Hirons,,,,Combined V5,,,,
63,Fix the Foundation,,Inttra - Rework and Review,Increase Revenue,Incremental or New Revenue EBIT,$5 m,,,,,Global,Order Handling platform,,,,Priyanka ,,,,,Sheelagh / Ashvarya,,,Yes,Combined V5,,,,
64,Fix the Foundation,,Continuation of 2026,Contracting,2026 FTE Carryover,TBC,,,,,Global,Athena,,,,Ale_CP,,LTA,M,,Will not do,,,No,Combined V5,,,,Contract Management and Execution
65,Fix the Foundation,,Continuation on data product,OIPO,2026 FTE Carryover,TBC,,,,,,,,,,Ale_CP,,,,,Haze,,,Yes   ,Combined V5,,,,Offer availability
66,Simple & Seamless Execution,,Automate SignUp targets back to SFDC,Productivity,FTE Efficiency,TBC,Reduction of workload in GDA and SFDC platform,Yes,Low,Low,Global,CUPID,CUPID,,,Ale_CP,Soeren Thomassen,Jacqueline Xu,C,,Naeem/Saravana Balaji,Tan Gill,XL,Yes,Combined V5,,,,High 5 - Commercial Planning and Optimization
67,Simple & Seamless Execution,,"Data Standardarization - product, brand and customer",Productivity,FTE Efficiency,TBC,Time spent in CUPID,Yes,Low,Low,Global,CUPID,CUPID,,,Ale_CP,Soeren Thomassen,Jacqueline Xu,C,,Naeem/Saravana Balaji,Tim Basset / PD,XL,Yes,Combined V5,,,Ocean Contract Products / High 5 Commercial Planning & Optimization,High 5 - Commercial Planning and Optimization
68,Simple & Seamless Execution,,Flexible Auto-splash logic- CPM self-defined splash logic,Productivity,FTE Efficiency,TBC,"Time spent in CUPID
Flexible Auto-splash logic- CPM self-defined splash logic",Yes,Low,Low,Global,CUPID,CUPID,,,Ale_CP,Soeren Thomassen,Jacqueline Xu,C,,Naeem/Saravana Balaji,Tim Basset / PD,XL,Yes,Combined V5,,,Ocean Contract Products / High 5 Commercial Planning & Optimization,High 5 - Commercial Planning and Optimization
69,,,Flexible SignUp target inputs - Excel export and upload functionality (Bulk process via excel),Productivity,FTE Efficiency,TBC,"Time spent in CUPID
Flexible SignUp target inputs - Excel export and upload functionality (Bulk process via excel)",Yes,Low,Low,Two regions,CUPID,CUPID,,,Ale_CP,Soeren Thomassen,Jacqueline Xu,C,,Naeem/Saravana Balaji,Tim Basset / PD,XL,Yes,Combined V5,,,,High 5 - Commercial Planning and Optimization
70,Simple & Seamless Execution,,Scale up commercial planning for Niche products - NOR&SPC,Productivity,FTE Efficiency,TBC,"Reduction of workload in CPM and FBP
Scale up commercial planning for Niche products - NOR&SPC",Yes,Low,High,Global,CUPID,CUPID,,,Ale_CP,Soeren Thomassen,Jacqueline Xu,C,,Naeem/Saravana Balaji,Tim Basset / PD,XL,Yes,Combined V5,,,Ocean Contract Products / High 5 Commercial Planning & Optimization,High 5 - Commercial Planning and Optimization
71,Simple & Seamless Execution,,Transparency with Change log - pipeline,Productivity,FTE Efficiency,TBC,Time spent in CUPID,Yes,Low,Low,Global,CUPID,CUPID,,,Ale_CP,Soeren Thomassen,Jacqueline Xu,C,,Naeem/Saravana Balaji,Tim Basset / PD,XL,Yes,Combined V5,,,Ocean Contract Products / High 5 Commercial Planning & Optimization,High 5 - Commercial Planning and Optimization
72,Simple & Seamless Execution,,Enhance Data Visibility - SFDC won,Productivity,FTE Efficiency,TBC,Time spent in CUPID,Yes,Low,Low,Global,CUPID,CUPID,,,Naeem/Saravana Balaji,Soeren Thomassen,Jacqueline Xu,C,,Naeem/Saravana Balaji,Tim Basset / PD,XL,Yes,Combined V5,,,Ocean Contract Products / High 5 Commercial Planning & Optimization,High 5 - Commercial Planning and Optimization
73,,,AI-assisted contract reviews,Productivity,FTE Efficiency,TBC,NSTC contract TAT,,Medium,High,Global,Athena,Alex,,,Ale_CP,,,C,,Ale,,,,Combined V5,,,,Contract Management and Execution
74,Fix the Foundation,,Emergency surcharge governance,,"Revenue Leakage Prevention,",0,"Invoice Accuracy, Revenue Leakage $
Linked to no, 88 ?",,,TBD,Global,Athena,Athena,,,Ale_CP,,Himanshu Sathe,,,Ale / Himanshu Sathe,,,Yes,Combined V5,,,,Contract Management and Execution
75,,,Pre-loaded disruption playbooks,,"Revenue Leakage Prevention,",0,"Invoice Accuracy, Revenue Leakage $
Linked to no, 88 ?",,,TBD,Global,Athena,Athena,,,Ale_CP,,Himanshu Sathe,,,Ale / Himanshu Sathe,,,Yes,Combined V5,,,,Contract Management and Execution
77,Fix the Foundation,,Support for PRISM products,,Operational Cost Savings,TBC,"Quote Turnaround Time, Process Efficiency %
enabler for 100% Athena adoption",,,"Reduced manual effort, streamlined workflow",Global,Athena,Athena,,,Ale_CP,,Mavzuna,,,Ale / Jorge,,,YES,Combined V5,,,,Offer availability
78,,,MLL,,Operational Cost Savings,$5m,"Quote Turnaround Time, Process Efficiency %
5-35 mUSDdependent on USTR ​",,,"Reduced manual effort, streamlined workflow",Global,Athena,Athena,,,Ale_CP,,Mavzuna,,,Ale / Mavzuna,,,YES,Combined V5,,,,Offer availability
79,Fix the Foundation,Platform Consolidation & Technical Simplification,Intra PH,,IT Cost Savings,TBC,"Quote Turnaround Time, Process Efficiency %
enabler for 100% Athena adoption",,,"Reduced manual effort, streamlined workflow",Global,Athena,Athena,,,Ale_CP,,Mavzuna,,,Sheelagh / Ashvarya / Mavzuna,,,YES,Combined V5,,,,Offer availability
80,Fix the Foundation,,OOG Quoting,,IT Cost Savings,$15.2m,"Quote Turnaround Time, Process Efficiency %",,,"Reduced manual effort, streamlined workflow",Global,Athena,Athena,,,Ale_CP,,Mavzuna,,,Ale / Mavzuna,,,YES,Combined V5,,,,Offer availability
81,Structured to Earn,Ocean Digitization & Automation,Automated Revenue & Cost Validation for Non-Disputed Transactions,Auto SO-PO,"Revenue Leakage Prevention,",$7m,Revenue Leakage % reduction,,Medium,Revenue Leakage % reduction,Global,Order Handling platform,Disputes,,,Swapnesh,,Swapnesh,,,Saurabh,,M,Yes,Combined V5,,,,
82,Simple & Seamless Execution,Ocean Digitization & Automation,system enhancement should be implemented to automatically accept payer disputes,Payer auto resolution,FTE Reduction,5.5 FTE,FTE Savings,,High,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,SAP/NFTP/Athena,,Swapnesh,,Swapnesh,,,Saurabh,,L,Yes   ,Combined V5,,,,
83,Simple & Seamless Execution,Ocean Digitization & Automation,To reduce manual effort and eliminate duplication of data entry,Draft GAM,FTE Reduction,1.5 FTE,FTE Savings,,Medium,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,,,Swapnesh,,Swapnesh,,,Saurabh,,M,No,Combined V5,,,,
84,Simple & Seamless Execution,Ocean Digitization & Automation,The Dispute View (DV) system shall provide users with the ability to download the invoice associated with a dispute directly from the DV interface,Invoice copy download,FTE Reduction,1 FTE,FTE Savings,,Medium,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,,,Swapnesh,,Swapnesh,,,Saurabh,,M,No,Combined V5,,,,
85,Simple & Seamless Execution,Ocean Digitization & Automation,Auto indexing Disputes,Auto Indexing,FTE Reduction,2 FTE,FTE Savings,,Medium,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,Case Management,,Swapnesh,,Swapnesh,,,Saurabh,,M,Yes,Combined V5,,,,
86,Simple & Seamless Execution,Ocean Digitization & Automation,Dispiutes integration with SCP,GAM SCP Integration,FTE Reduction,3 FTE,FTE Savings,,Medium,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,SCP,,TBI,,Swapnesh,,,Saurabh,,M,Yes,Combined V5,,,,
87,Simple & Seamless Execution,Ocean Digitization & Automation,Customer Chatbot for Disputes handling,Chatbot Live interaction,FTE Reduction,5 FTE,FTE Savings,,,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,MyFinance,,Swapnesh,,Swapnesh,,,Saurabh,,L,Yes,Combined V5,,,,
88,Simple & Seamless Execution,Ocean Digitization & Automation,Dispute Logging option link on Ml.com,Log disputes via ML.com,FTE Reduction,4 FTE,FTE Savings,,,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,M.com,,Swapnesh,,Swapnesh,,,Saurabh,,M,Yes,Combined V5,,,,
89,Structured to Earn,Ocean Digitization & Automation,Disputes - D&D revenue leakage arrest,Disputes Ocean Ocean D&D revenue leakage ,"Revenue Leakage Prevention,",$1m,Revenue Leakage % reduction,,,Revenue Leakage % reduction,Global,Order Handling platform,Disputes,Kronos / CXED,,Swapnesh,,Swapnesh,,,Saurabh,,L,Yes,Combined V5,,,,
90,Simple & Seamless Execution,Ocean Digitization & Automation,Cusrcharges automations,Disputes Ocean - Manual Surcharge auto resolution (Phase 2),FTE Reduction,7 FTE,FTE Savings,,,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,,,TBI,,Swapnesh,,,Saurabh,,M,Yes,Combined V5,,,,
91,Simple & Seamless Execution,Ocean Digitization & Automation,Contractual Automations,Disputes Ocean - Contractual automation (Phase 2),FTE Reduction,6 FTE,FTE Savings,,,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,Athena/Alex,,TBI,,Swapnesh,,,Saurabh,,M,Yes,Combined V5,,,,
92,Simple & Seamless Execution,Ocean Digitization & Automation,Amednment automation,Disputes Ocean - Increase scope of amendments,FTE Reduction,5 FTE,FTE Savings,,,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,SAP/NFTP/Athena,,TBI,,Swapnesh,,,Saurabh,,M,Yes,Combined V5,,,,
93,Simple & Seamless Execution,Ocean Digitization & Automation,Disputes Ocean - Calling,Disputes Ocean - Calling,FTE Reduction,5 FTE,FTE Savings,,,"Reduced manual effort, streamlined workflow",Global,Order Handling platform,Disputes,,,TBI,,Swapnesh,,,Saurabh,,XL,Yes   ,Combined V5,,,,
94,Fix the Foundation,Ocean Digitization & Automation,Dispute Ocean,"GIA & PWC Compliance & Governance Remediation, controls",Revenue at Risk-EBIT,TBC,Compliance %,,,Compliance,Global,Order Handling platform,Disputes,,,TBI,,Swapnesh,,,Saurabh,,XL,Yes   ,Combined V5,,,,
95,Fix the Foundation,Landside & Non Ocean Products Enablement,Dispute LnS,"GIA, GRC & BCO Compliance & Governance Remediation controls",Revenue at Risk-EBIT,TBC,Compliance %,,,Compliance,Global,Order Handling platform,Disputes,,,TBI,,Swapnesh,,,Saurabh,,XL,Yes   ,Combined V5,,,,
96,Structured to Earn,,"End-to-end pricing integrity across Opportunity-Quote-Contract-Booking-Invoice to eliminate leakage, with AI-based revenue leakage detection across lifecycle",,"Revenue Leakage Prevention,",TBC,,,,,,,,,"Cross-Platform data gaps (NFTP, SAP)",Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
97,Structured to Earn,,"Market-aligned pricing signal layer using demand, capacity and Integrate Xeneta, SCFI, NYFI + internal signals into Athena to provide benchmark-aligned price ranges",,"Revenue Leakage Prevention,",TBC,,,,,,,,,Data latency and external data translation to Maersk standards LTA Dependency,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
98,Structured to Earn,,Pricing Mandate guardrails & governance through PVT integration in Athena,,,TBC,Reduced Quote below Mandate,,,,,,,,Adoption and Price Settinng recency. LTA Dependency,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
99,Simple & Seamless Execution,,AI powered Pricing chatbot for Price Setters and CPMs for deal-level recommendations,,,TBC,"Improved EBIT, Win Ratio",,,,,,,,Model training improves over a period of time,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
100,Simple & Seamless Execution,,"Pricing simulator for volume, margin and EBIT scenarios",,,TBC,Adoption,,,,,,,,Adoption,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
101,Simple & Seamless Execution,,"Contract intelligence engine for long-term pricing feedback loop, with Product pricing governance layer",,,TBC,Contract margin vs plan,,,,,,,,Data variability,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
102,Structured to Earn,,Analyze competitor pricing patterns,,,TBC,TBD,,,,,,,,Data quality,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
103,Simple & Seamless Execution,,"Agentic price monitoring and alerting system to analyze market trends, competitor pricing, Mandates and other factors ",,,TBC,TBD,,,,,,,,Data quality,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Price Determination - Pricing Intelligence,
104,Simple & Seamless Execution,,Data Pipelines Maintenance and Enhancements,,,TBC,Data Availability / Downtime%,,,,,,,,Pipeline stability,Saravana Balaji,,,,,Saravana Balaji,,XL,Yes,Athena - Karthik,,,Ocean: Pricing Performance: Data Foundation,
105,Simple & Seamless Execution,,"Enhance Foundation data layer (rates, surcharges, contracts) with AI modelled self-serve access",,,TBC,Data Completeness% / Accuracy%,,,,,,,,Data availability and pipeline stability,Saravana Balaji,,,,,Saravana Balaji,,XXL,Yes,Athena - Karthik,,,Ocean: Pricing Performance: Data Foundation,
106,Fix the Foundation,,Contract Migration - AFLS to Athena/aLex manual migration for Amendment only FMC Filing – Long term (Initial & Direct filing) MVP​,,,TBC,,Carry over,,,,,,,,,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
107,Fix the Foundation,,OCE+ Contract Header Implementation​,,,TBC,,Carry over,,,,,,,,,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
108,Fix the Foundation,,"T&C amendments – launch of improved amendment process for OCE+, Air&LCL and SCM.",,,TBC,,Carry over,,,,,,,,,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
109,Fix the Foundation,Operational Productivity & Touch Reduction,Scale contractual obligations consumption (UI and API) for personas besides Disputes,,,TBC,,Carry over,,,,,,,Dispute,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
110,Simple & Seamless Execution,,Enable searchability for Contractual Obligations,,,TBC,,Carry over,,,,,,,Dispute,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
111,Simple & Seamless Execution,"Governance, Compliance & Audit Closure",All-in-visibility for market inclusive,,,TBC,,Carry over,,,,,,,NFTP,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
112,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Product flag dissemination - North Star Solution,,,TBC,,Carry over,,,,,,,"OIPO, SSIB, GCSS & NFTP",Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
113,Simple & Seamless Execution,"Governance, Compliance & Audit Closure",All-in-visibility for Indirect taxes,,,TBC,,New,,,,,,,"OIPO, SSIB, GCSS & NFTP",Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
114,Simple & Seamless Execution,Contract Governance & Subscription Lifecycle,Enhance contract quality ,,,TBC,,,,,,,,,,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
115,Simple & Seamless Execution,,Dashboards/Notifications for renewals,,,TBC,,,,,,,,,,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
116,Simple & Seamless Execution,,Contractual risk dashboard,,,TBC,,,,,,,,,,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
117,Fix the Foundation,Platform Consolidation & Technical Simplification,AFLS Decommissioning - Agreement ID & Agreement Line ID dissemination to downstream,,IT Cost Savings,TBC,Enabling Athena benefit and Decommissioning AFLS,New,,,,,,,"OIPO, SSIB, GCSS & NFTP",Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
118,Simple & Seamless Execution,,AI-assisted contract reviews,,,TBC,AI-assisted contract reviews,,,,,,,,,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
119,Simple & Seamless Execution,,Ocean ++ Invoicing Data Elements – Group 1 – Capture & Dissemination Development​,,,TBC,,Carry over,,,,,,,,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
120,Simple & Seamless Execution,,"Connection to SDP, Athena (CAT,CoPo)",,,TBC,,Carry over,,,,,,,,Shruti,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Contract Management and Execution,
121,Fix the Foundation,,"OCE+ Price negotiation: Additional lane, mother NP, multiple validities",,,TBC,"Faster Quote TAT
Reduction of CPM and Sales Workload",Carry over,,,,,,,,Karthik,,,,,Mavzuna M,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Lite,
122,Fix the Foundation,Quote Journey Acceleration,OCE+ Quote & Negotiate: Tender Journey (LT): Additional lane handling,,,TBC,"Faster Quote TAT
Reduction of CPM and Sales Workload",Carry over,,,,,,,,Karthik,,,,,Mavzuna M,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Lite,
123,Fix the Foundation,,"OCE+ (Includes D&D, CCL, MCS) Quote & Negotiate: Tender Journey (LT): Dynamic deadline",,,TBC,,Carry over,,,,,,,,Karthik,,,,,Mavzuna M,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Lite,
124,Simple & Seamless Execution,Quote Journey Acceleration,Online Quoting for Long Term Deals (Fast Track Journey),,,TBC,"Faster Quote TAT
Reduction of CPM and Sales Workload",Carry over,,,,,,,,Karthik,,,,,Mavzuna M,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Lite,
125,Simple & Seamless Execution,Quote Journey Acceleration,Online Quoting for Long Term Deals (Full Service Journey),,,TBC,"Faster Quote TAT
Reduction of CPM and Sales Workload",Carry over,,,,,,,,Karthik,,,,,Mavzuna M,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Lite,
126,Simple & Seamless Execution,Quote Journey Acceleration,Online Quoting for Long Term Deals (Instant Journey),,,TBC,"Faster Quote TAT
Reduction of CPM and Sales Workload",Carry over,,,,,,,,Karthik,,,,,Mavzuna M,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Lite,
127,Fix the Foundation,Allocation Management & Monetisation,Cover BlockSpace deals in Athena quoting (Offerlite) journey,,,TBC,"Faster Quote TAT
Reduction of CPM and Sales Workload",,,,,,,,,Karthik,,,,,Mavzuna M,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Lite,
128,Simple & Seamless Execution,Price Suitability & Intelligence Quality,"Charge price setting: charge tariff setting, governance and control, formula-based tariff (incld. ECO, EMS)​",,,TBC,,Carry over,,,,,,,,Karthik,,,,,Naeem B,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Better Pricing,
129,Simple & Seamless Execution,,"Price negotiation: ECO, unfreeze, nomination review flow ​",,,TBC,,Carry over,,,,,,,,Karthik,,,,,Naeem B,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Better Pricing,
130,Fix the Foundation,Price Suitability & Intelligence Quality,Index based pricing,,,TBC,"FWD: rate delta  Spot vs BSA. 
BCO: rate delta LT vs LT with index based pricing",Carry over,,,,,,,,Karthik,,,,,Naeem B,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Better Pricing,
131,Simple & Seamless Execution,,Contingency playbook,,,TBC,"Improve IQ, Reduce Disputes
No Revenue leakage",New,,,,,,,,Karthik,,,,,Naeem B,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Better Pricing,
132,Simple & Seamless Execution,,OCE+ Rate & Obligation Consumption: Ocean ++ Product Visibility,,,TBC,,Carry over,,,,,,,,Karthik,,,,,Shruti A,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / Better Pricing,
133,Simple & Seamless Execution,Allocation Management & Monetisation,"Transforming CAP into a proactive performance and allocation management tool for customers
- Proactive reports with push notifications on customer performance at trade, od group and allocation ID level
- Proactive booking recommendations for customers using AI, to guide them where to keep their focus and how they can best use their agreements / allocations to maximize their outcome
- Self service amendments by customers on their allocations within the standard value proposition of their products. Non standard asks to be linked to CAT request which requires exception handling process via CPM approval.
- Net performance calculation capability which we built in 2026 to be incorporated into CAP to align how to read performance between sales/cpms and customers",,,TBC,"- AF%
- CPM and Sales workload on allocations (coming from amendments)
- Allocation to book ratio",New,,,,,,,,Shruti,,,,,Can Cebebi/Shruti A,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Allocations,
134,Simple & Seamless Execution,Allocation Management & Monetisation,"Translation between service level capacity planning and trade/OD Group level allocation and nomination execution
- OD Group and Trade level total capacity figures derived from individual service/leg level capacities.
- Impact of OD Group and Trade level nominations and allocation filings to each individual service/leg",,,TBC,Model ship impact USD,New,,,,,,,,Shruti,,,,,Can Cebebi/Shruti A,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Allocations,
135,Simple & Seamless Execution,Allocation Management & Monetisation,Initial Allocation Filing Automation -  including mapping to various tender journeys,,,TBC,CPM and Sales workload on allocations (coming from initial filings),Carry over,,,,,,,,Shruti,,,,,Can Cebebi/Shruti A,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Allocations,
136,Simple & Seamless Execution,Allocation Management & Monetisation,Establishing a rule based allocation journey end to end supported by systematic exception handling process for initial allocation filings and amendments,,,TBC,Non standard allocation actions (initial filings and amendments),Carry over,,,,,,,,Shruti,,,,,Can Cebebi/Shruti A,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Allocations,
137,Structured to Earn,Allocation Management & Monetisation,Any items left over from OP26 approved for allocations,,,TBC,,Carry over,,,,,,,,Shruti,,,,,Can Cebebi/Shruti A,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Allocations,
138,Simple & Seamless Execution,,Continuation on OIPO data product for bookings offer availability.,,,TBC,,Carry over,,,,,,,,Shruti,,,,,Haze,,XXL,Yes,Athena - Karthik,,,Ocean Contract Products / Offer Availability,
143,Simple & Seamless Execution,,Granular-level planning to focus on modelship drive - add LT/ST planning capability,,Revenue Enabler – EBIT,TBC,Improved revenue by hitting modelship targets,Carry over,,,,,,,,Naeem/Saravana Balaji,,,,,Naeem/Saravana Balaji,,XL,Yes,Athena - Karthik,,,Ocean Contract Products / High 5 Commercial Planning & Optimization,
147,Simple & Seamless Execution,,"Ocean+ -Regulatory, governance, control and compliance",,,TBC,,New,,,,,,,,Karthik,,,,,TBI,,XXL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
148,Simple & Seamless Execution,Price Suitability & Intelligence Quality,"Ocean+ -Pricing component visibility - Pricing structure, inclusive charges, underlying BAS",,,TBC,,New,,,,,,,,Karthik,,,,,TBI,,XXL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
149,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Ocean+ -Ability to manage discounting rates at granular level,,,TBC,,New,,,,,,,,Karthik,,,,,Raymon/Laura,,L,Yes,Athena - Karthik,,,Short Term + Long Term Products,
150,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Ocean+ - Target rate simplification for sales as we have cases where sales would like to provide target rate instructions digitally in order to pass on the customer expectations to all product owners. This is applicable for all rounds as we have cases where customer do provide target rate in round 1 as well and the target rate is not always in line with customer rate structure,,,TBC,,New,,,,,,,,Karthik,,,,,Maczuna M,,L,Yes,Athena - Karthik,,,Short Term + Long Term Products,
151,Fix the Foundation,Price Suitability & Intelligence Quality,Ocean+ - Modernize Freightage formula,,,TBC,,New,,,,,,,,Karthik,,,,,Prakash N,,L,Yes,Athena - Karthik,,,Short Term + Long Term Products,
152,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Ocean+ - Auto Calc logic for tariff for fuel charges,,,TBC,,New,,,,,,,,Karthik,,,,,Ananda Krishnan GM,,XL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
153,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Ocean+ - Set up logic for auto calculation and updation of tariff for indexed rates/Deliver external benchmark pricing signals,,,TBC,,New,,,,,,,,Karthik,,,,,Raymond,,XXL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
154,Fix the Foundation,,Ocean+ - MLL,,,TBC,,New,,,,,,,,Karthik,,,,,Mavzuna M,,XL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
155,Fix the Foundation,,Ocean+ - Intra Philippines,,,TBC,,New,,,,,,,,Karthik,,,,,Mavzuna M,,XL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
156,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Ocean+ - Full automation of rate filing ,,,TBC,,New,,,,,,,,Karthik,,,,,Ananda Krishnan GM,,L,Yes,Athena - Karthik,,,Short Term + Long Term Products,
157,Simple & Seamless Execution,Quote Journey Acceleration,Ocean+ - Full automation of amendments,,,TBC,,New,,,,,,,,Karthik,,,,,Ananda Krishnan GM,,L,Yes,Athena - Karthik,,,Short Term + Long Term Products,
158,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Ocean+ - Integration of price setting with price determination with guardrails,,,TBC,,New,,,,,,,,Karthik,,,,,Raymond,,XXL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
159,Fix the Foundation,Quote Journey Acceleration,Ocean+ - Integration of Spot with Athena data set in surcharges and VAS,,,TBC,,New,,,,,,,,Karthik,,,,,Prakash N,,XXL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
160,Simple & Seamless Execution,Quote Journey Acceleration,Landside - MCI end to end solution,,,TBC,,New,,,,,,,,Karthik,,,,,Laura Patricia,,XXL,Yes,Athena - Karthik,,,Short Term + Long Term Products,
161,Fix the Foundation,Quote Journey Acceleration,Self-service online contracting for ORA (new deals; amend deals) ,,,TBC,,New,,,,,,,,Wouter,,,,,Gabriele,,XL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
162,Structured to Earn,Quote Journey Acceleration,Space Reserve - Athena workflow integration ,,,TBC,,New,,,,,,,,Wouter,,,,,Alexander,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
163,Structured to Earn,,Space Reserve - Online upsell opportunity in booking journey,,,TBC,,New,,,,,,,,Wouter,,,,,Alexander,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
164,Fix the Foundation,Contract Governance & Subscription Lifecycle,Contract Rate API ,,,TBC,,New,,,,,,,,Karthik,,,,,TBI,,L,Yes,Athena - Karthik,,,Short-Term Contract Products ,
165,Simple & Seamless Execution,Price Suitability & Intelligence Quality,Performance Management enhancements (a.o. bidline conversion review),,,TBC,,New,,,,,,,,Wouter,,,,,Joseph,,XXL,Yes,Athena - Karthik,,,Short-Term Contract Products ,
